postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-24T17:58:00-0700,2015-11-24T17:58:00-0700",5331147204,Park Hill Home,2800,,-104.927034,3,39.751187,//denver.craigslist.org/apa/5331147204.html,0,3.0,Nov 24,"2015-11-24T17:58:00-0700,2015-11-24T17:58:00-0700",3600,1,0
"2015-11-10T11:40:13-0700,2015-11-10T11:40:13-0700,2015-11-24T18:13:05-0700",5309464756,$700 / 1br - One BR Apartment near Hwy 85 7 Hwy 34,700,,-104.691707,1,40.389375,//denver.craigslist.org/apa/5309464756.html,0,,Nov 24,"2015-11-10T11:40:13-0700,2015-11-10T11:40:13-0700,2015-11-24T18:13:05-0700",,3,0
"2015-11-24T18:04:04-0700,2015-11-24T18:04:04-0700",5331153984,Beautiful Two Bedroom!,1185,,,2,,//denver.craigslist.org/apa/5331153984.html,3,2.0,Nov 24,"2015-11-24T18:04:04-0700,2015-11-24T18:04:04-0700",900,19,0
"2015-10-29T12:40:20-0600,2015-10-29T12:40:20-0600,2015-11-24T18:11:27-0700",5291214590,3BR 2-Story Home in the heart of Highlands Ranch!,1875,,,3,,//denver.craigslist.org/apa/5291214590.html,7,2.0,Nov 24,"2015-10-29T12:40:20-0600,2015-10-29T12:40:20-0600,2015-11-24T18:11:27-0700",1542,1,0
"2015-11-24T18:17:30-0700,2015-11-24T18:17:30-0700",5331168601,4 bedroom house in Aurora,2225,,-104.756927,4,39.65131,//denver.craigslist.org/apa/5331168601.html,9,2462.0,Nov 24,"2015-11-24T18:17:30-0700,2015-11-24T18:17:30-0700",2462,25,0
"2015-11-20T16:59:11-0700,2015-11-20T16:59:11-0700,2015-11-24T18:14:44-0700",5325188526,"Exquisite Crown-molding, Cozy Gas Fireplace, Easy Online Rent Payments",,,-104.943854,2,39.867854,//denver.craigslist.org/apa/5325188526.html,11,2.0,Nov 24,"2015-11-20T16:59:11-0700,2015-11-20T16:59:11-0700,2015-11-24T18:14:44-0700",1170,23,0
"2015-11-24T18:06:43-0700,2015-11-24T18:06:43-0700",5331156804,~~~LOHI's #1 Property-1 Month FREE Rent and Free Undergound Parking! ~~~~~~~~~~~,1452,,,1,,//denver.craigslist.org/apa/5331156804.html,13,1.0,Nov 24,"2015-11-24T18:06:43-0700,2015-11-24T18:06:43-0700",661,41,0
"2015-11-24T17:59:25-0700,2015-11-24T17:59:25-0700",5331148771,"Dishwasher, Fitness Center, Open Layout, Tennis Court, Electric Range",1193,,-104.9011,1,39.5805,//denver.craigslist.org/apa/5331148771.html,5,1.0,Nov 24,"2015-11-24T17:59:25-0700,2015-11-24T17:59:25-0700",745,69,0
"2015-11-24T18:11:11-0700,2015-11-24T18:11:11-0700",5331161696,Resort Style Apartment Homes! Great Downtown Location!,2955,,-105.000865,2,39.762993,//denver.craigslist.org/apa/5331161696.html,16,2.0,Nov 24,"2015-11-24T18:11:11-0700,2015-11-24T18:11:11-0700",1379,23,0
"2015-11-02T22:02:21-0700,2015-11-02T22:02:21-0700,2015-11-24T18:22:19-0700",5297851356,"Furnished Studio, mth-mth, Best Prices in DTC/Centennial",995,,-104.880384,1,39.600973,//denver.craigslist.org/apa/5297851356.html,6,1.0,Nov 24,"2015-11-02T22:02:21-0700,2015-11-02T22:02:21-0700,2015-11-24T18:22:19-0700",300,33,0
"2015-11-24T18:10:22-0700,2015-11-24T18:10:22-0700",5331160811,Come see all the changes at Sky at Bear Creek!,1051,,-104.842505,2,38.805192,//cosprings.craigslist.org/apa/5331160811.html,8,1.5,Nov 24,"2015-11-24T18:10:22-0700,2015-11-24T18:10:22-0700",915,28,0
"2015-11-24T17:52:51-0700,2015-11-24T17:52:51-0700",5331141381,Fall in Love with your NEW HOME!! 2 Bedroom Apt Home Dec 12th,1075,,-104.849152,2,39.695397,//denver.craigslist.org/apa/5331141381.html,10,1.0,Nov 24,"2015-11-24T17:52:51-0700,2015-11-24T17:52:51-0700",980,32,0
"2015-10-29T18:01:23-0600,2015-10-29T18:01:23-0600,2015-11-24T18:11:21-0700",5291719662,Spacious Lafayette Home with Tons of Storage and a Huge Yard!,2100,,-105.105136,3,39.992921,//boulder.craigslist.org/apa/5291719662.html,22,3.0,Nov 24,"2015-10-29T18:01:23-0600,2015-10-29T18:01:23-0600,2015-11-24T18:11:21-0700",1724,21,0
"2015-11-24T18:00:16-0700,2015-11-24T18:00:16-0700",5331149681,Must See ! Lost Of Natural Light! Move In Special!,1495,,-104.843148,2,39.676926,//denver.craigslist.org/apa/5331149681.html,18,2.0,Nov 24,"2015-11-24T18:00:16-0700,2015-11-24T18:00:16-0700",1192,50,0
