postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-30T10:13:33-0800,2015-11-30T10:13:33-0800",5338571503,1 Bedroom/ 1 Bath Duplex for Rent in Gardena,1150,,-118.308906,0,33.895615,/wst/apa/5338571503.html,0,,Nov 30,"2015-11-30T10:13:33-0800,2015-11-30T10:13:33-0800",,5,0
"2015-11-30T10:11:02-0800,2015-11-30T10:11:02-0800",5338566177,MUST SEE! Large 3 Bedroom Apt wih Private Backyard in West LA,3350,,-118.4487,3,34.0447,/wst/apa/5338566177.html,0,,Nov 30,"2015-11-30T10:11:02-0800,2015-11-30T10:11:02-0800",,25,0
"2015-11-30T10:12:25-0800,2015-11-30T10:12:25-0800",5338569096,"In-unit washer and dryer, Roman-style tub, 9 Foot ceiling, BBQ area",2836,,-118.473301,0,34.02677,/wst/apa/5338569096.html,0,,Nov 30,"2015-11-30T10:12:25-0800,2015-11-30T10:12:25-0800",,57,0
"2015-11-10T12:10:33-0800,2015-11-10T12:10:33-0800,2015-11-30T10:07:37-0800",5309637245,Beautiful House For Your Family!,1665,,,4,,/wst/apa/5309637245.html,0,2.0,Nov 30,"2015-11-10T12:10:33-0800,2015-11-10T12:10:33-0800,2015-11-30T10:07:37-0800",1314,6,0
"2015-11-10T13:22:55-0800,2015-11-10T13:22:55-0800,2015-11-30T10:07:47-0800",5309768260,Art Deco Luxury - Long Term or Monthly Rental,2950,,-118.371711,1,34.093908,/wst/apa/5309768260.html,15,1.5,Nov 30,"2015-11-10T13:22:55-0800,2015-11-10T13:22:55-0800,2015-11-30T10:07:47-0800",1500,1,0
"2015-11-22T21:15:52-0800,2015-11-22T21:15:52-0800,2015-11-30T10:05:52-0800",5328284669,"🔴✔ WEST LA 90025 BRENTWOOD TOWNHOUSE LOFT 1 BED, FIREPLACE, AC, D",1950,,-118.440812,1,34.045009,/wst/apa/5328284669.html,2,,Nov 30,"2015-11-22T21:15:52-0800,2015-11-22T21:15:52-0800,2015-11-30T10:05:52-0800",,1,0
"2015-11-11T10:47:33-0800,2015-11-11T10:47:33-0800,2015-11-30T10:05:54-0800",5311075712,WLA Large 2bd. 2 ba. with balcony close to UCLA and Santa Monica,2650,,,2,,/wst/apa/5311075712.html,6,2.0,Nov 30,"2015-11-11T10:47:33-0800,2015-11-11T10:47:33-0800,2015-11-30T10:05:54-0800",1250,13,0
"2015-11-08T21:32:42-0800,2015-11-08T21:32:42-0800,2015-11-30T10:06:03-0800",5307078992,🔴✔ SANTA MONICA 90405 OCEAN PARK 2 BLOCKS TO BEACH,1995,,-118.479312,1,34.00201,/wst/apa/5307078992.html,2,,Nov 30,"2015-11-08T21:32:42-0800,2015-11-08T21:32:42-0800,2015-11-30T10:06:03-0800",,1,0
"2015-11-06T11:23:49-0800,2015-11-06T11:23:49-0800,2015-11-30T10:08:29-0800",5303506859,Great Home With Views!,1660,,,4,,/wst/apa/5303506859.html,0,2.0,Nov 30,"2015-11-06T11:23:49-0800,2015-11-06T11:23:49-0800,2015-11-30T10:08:29-0800",1200,6,0
"2015-11-16T08:38:08-0800,2015-11-16T08:38:08-0800,2015-11-30T07:15:16-0800",5318373502,Large one bedroom W/Fireplace & Swimming Pool!,1025,,-118.293295,1,33.742918,/wst/apa/5318373502.html,7,,Nov 30,"2015-11-16T08:38:08-0800,2015-11-16T08:38:08-0800,2015-11-30T07:15:16-0800",,11,0
"2015-11-19T11:34:24-0800,2015-11-19T11:34:24-0800,2015-11-30T10:06:04-0800",5323243932,PARK VISTA ARMS*GREAT HOLLYWOOD PROPERTY*$500 DEPOSIT,1495,,-118.307572,1,34.104209,/wst/apa/5323243932.html,0,800.0,Nov 30,"2015-11-19T11:34:24-0800,2015-11-19T11:34:24-0800,2015-11-30T10:06:04-0800",800,7,0
"2015-11-20T18:02:04-0800,2015-11-20T18:02:04-0800,2015-11-30T08:58:27-0800",5325330398,"Executive Furnished Rental Home, with Panoramic Ocean Views in the Hea",11600,,-118.398524,4,33.863683,/wst/apa/5325330398.html,10,3.5,Nov 30,"2015-11-20T18:02:04-0800,2015-11-20T18:02:04-0800,2015-11-30T08:58:27-0800",2860,4,0
