postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-21T12:36:51-0800,2015-11-21T12:36:51-0800",5326388770,An apartment to come and see!,1970,,-122.312078,1,47.65832,/see/apa/5326388770.html,10,1.0,Nov 21,"2015-11-21T12:36:51-0800,2015-11-21T12:36:51-0800",790,6,0
"2015-11-15T17:21:39-0800,2015-11-15T17:21:39-0800,2015-11-21T12:04:55-0800",5317668176,Fantastic 2 Bedroom Townhouse,3400,,-122.412415,2,47.576989,/see/apa/5317668176.html,16,2.5,Nov 21,"2015-11-15T17:21:39-0800,2015-11-15T17:21:39-0800,2015-11-21T12:04:55-0800",1556,57,0
"2015-11-18T14:34:45-0800,2015-11-18T14:34:45-0800,2015-11-21T12:24:01-0800",5322149102,What is life TraVigne?,1545,,-122.316134,1,47.663942,/see/apa/5322149102.html,14,1.0,Nov 21,"2015-11-18T14:34:45-0800,2015-11-18T14:34:45-0800,2015-11-21T12:24:01-0800",606,37,0
"2015-11-21T12:34:55-0800,2015-11-21T12:34:55-0800",5326385629,"*Brand New*Top Floor True 1Bdr Apartment*Lease for Nov, Dec or Jan!!",1695,,-122.355766,1,47.652666,/see/apa/5326385629.html,8,1.0,Nov 21,"2015-11-21T12:34:55-0800,2015-11-21T12:34:55-0800",543,90,0
"2015-11-21T12:23:20-0800,2015-11-21T12:23:20-0800",5326366437,"So Much Fall Beauty Outside, So Much Comfort Inside!",1462,,-122.330437,0,47.622489,/see/apa/5326366437.html,4,1.0,Nov 21,"2015-11-21T12:23:20-0800,2015-11-21T12:23:20-0800",566,7,0
"2015-11-21T12:29:05-0800,2015-11-21T12:29:05-0800",5326376053,Awesome Top floor One Bedroom One Bathroom,1195,,-122.3431,1,47.7377,/see/apa/5326376053.html,15,1.0,Nov 21,"2015-11-21T12:29:05-0800,2015-11-21T12:29:05-0800",687,38,0
"2015-10-31T16:27:14-0700,2015-10-31T16:27:14-0700,2015-11-21T12:04:24-0800",5294595400,Classic mid-century 5 bedroom home,2750,,-122.32247,5,47.77492,/see/apa/5294595400.html,18,2.0,Nov 21,"2015-10-31T16:27:14-0700,2015-10-31T16:27:14-0700,2015-11-21T12:04:24-0800",2064,55,0
"2015-11-21T12:35:10-0800,2015-11-21T12:35:10-0800",5326386028,Bright Studio With Eastern Exposure,1547,,,0,,/see/apa/5326386028.html,6,1.0,Nov 21,"2015-11-21T12:35:10-0800,2015-11-21T12:35:10-0800",503,11,0
"2015-11-21T12:16:58-0800,2015-11-21T12:16:58-0800",5326355995,Large two bedroom with TWO MONTHS FREE!,2333,,-122.316738,2,47.601704,/see/apa/5326355995.html,20,2.0,Nov 21,"2015-11-21T12:16:58-0800,2015-11-21T12:16:58-0800",1061,11,0
"2015-11-14T08:36:59-0800,2015-11-14T08:36:59-0800,2015-11-21T12:29:18-0800",5315545915,"1BRM/1BATH - SPACIOUS, CLEAN, BRIGHT",1195,,-122.29643,1,47.668732,/see/apa/5315545915.html,5,1.0,Nov 21,"2015-11-14T08:36:59-0800,2015-11-14T08:36:59-0800,2015-11-21T12:29:18-0800",700,20,0
"2015-11-15T16:05:30-0800,2015-11-15T16:05:30-0800,2015-11-21T12:29:54-0800",5317581286,"Right Around the Corner, Near Everywhere You Want To Be",1480,,-122.140303,2,47.442731,/see/apa/5317581286.html,9,2.0,Nov 21,"2015-11-15T16:05:30-0800,2015-11-15T16:05:30-0800,2015-11-21T12:29:54-0800",985,50,0
"2015-11-18T02:42:11-0800,2015-11-18T02:42:11-0800,2015-11-21T12:29:59-0800",5321122927,Remodeled spacious bright top floor apartment,1395,,,1,,/see/apa/5321122927.html,7,1.0,Nov 21,"2015-11-18T02:42:11-0800,2015-11-18T02:42:11-0800,2015-11-21T12:29:59-0800",700,12,0
"2015-11-21T12:32:42-0800,2015-11-21T12:32:42-0800",5326381929,Come see what makes us exceptional!!Check out our OPEN HOUSE Special!,1395,,-122.312537,0,47.624557,/see/apa/5326381929.html,5,1.0,Nov 21,"2015-11-21T12:32:42-0800,2015-11-21T12:32:42-0800",391,21,0
"2015-11-21T12:27:44-0800,2015-11-21T12:27:44-0800",5326373761,Throwing a holiday party? Our roof deck Pavilion is ready to host!,1395,,-122.340175,0,47.615088,/see/apa/5326373761.html,7,1.0,Nov 21,"2015-11-21T12:27:44-0800,2015-11-21T12:27:44-0800",571,55,0
"2015-11-21T15:03:20-0800,2015-11-21T15:03:20-0800",5326605158,OPEN HOUSE TODAY! Micro Studios--All utilities + FREE internet,1000,,-122.354254,0,47.693542,/see/apa/5326605158.html,12,,Nov 21,"2015-11-21T15:03:20-0800,2015-11-21T15:03:20-0800",,27,0
