postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-25T14:57:19-0800,2015-11-25T14:57:19-0800",5332409882,NEW KITCHEN 2 BED TOWNHOUSE,3650,,-118.381526,2,34.070916,/wst/apa/5332409882.html,5,1.5,Nov 25,"2015-11-25T14:57:19-0800,2015-11-25T14:57:19-0800",1600,12,0
"2015-11-25T14:57:40-0800,2015-11-25T14:57:40-0800",5332410285,9 Foot Ceilings/ 11 foot Penthouse/ Central Air /Heat,3080,,,2,,/wst/apa/5332410285.html,2,2.5,Nov 25,"2015-11-25T14:57:40-0800,2015-11-25T14:57:40-0800",1367,23,0
"2015-11-25T14:57:43-0800,2015-11-25T14:57:43-0800",5332410369,The Manhattan at Park West,2330,,-118.416224,2,33.956562,/wst/apa/5332410369.html,0,2.0,Nov 25,"2015-11-25T14:57:43-0800,2015-11-25T14:57:43-0800",897,9,0
"2015-11-25T14:56:52-0800,2015-11-25T14:56:52-0800",5332409342,Enjoy Luxury Living At Its Finest! Hurry In Today!,2610,,-118.393342,2,33.763989,/wst/apa/5332409342.html,5,2.0,Nov 25,"2015-11-25T14:56:52-0800,2015-11-25T14:56:52-0800",1250,13,0
"2015-11-25T14:58:10-0800,2015-11-25T14:58:10-0800",5332410853,Comfortable one bedroom apartment * GREAT NEIGHBORHOOD!! * A MUST SEE!,1495,,,1,,/wst/apa/5332410853.html,13,,Nov 25,"2015-11-25T14:58:10-0800,2015-11-25T14:58:10-0800",,30,0
"2015-11-25T13:45:37-0800,2015-11-25T13:45:37-0800",5332318227,1 Bedroom Apartment in Redondo Beach,1550,,-118.3832,0,33.8307,/wst/apa/5332318227.html,0,,Nov 25,"2015-11-25T13:45:37-0800,2015-11-25T13:45:37-0800",,19,0
"2015-11-21T05:52:57-0800,2015-11-21T05:52:57-0800,2015-11-25T14:48:07-0800",5325721577,Soon! Soon! Soon! We have the perfect Home for you !!!!,1026,,,3,,/wst/apa/5325721577.html,0,2.0,Nov 25,"2015-11-21T05:52:57-0800,2015-11-21T05:52:57-0800,2015-11-25T14:48:07-0800",1456,9,0
"2015-11-25T14:47:10-0800,2015-11-25T14:47:10-0800",5332397747,One bedroom apartment with a personal balcony!,3195,,-118.48295,1,34.023476,/wst/apa/5332397747.html,7,,Nov 25,"2015-11-25T14:47:10-0800,2015-11-25T14:47:10-0800",,43,0
"2015-11-25T14:46:13-0800,2015-11-25T14:46:13-0800",5332396640,Nicely Furnished Two Bed + Den Waiting For You!!!,10454,,-118.43369,2,34.061441,/wst/apa/5332396640.html,24,,Nov 25,"2015-11-25T14:46:13-0800,2015-11-25T14:46:13-0800",,42,0
"2015-11-25T14:47:51-0800,2015-11-25T14:47:51-0800",5332398594,Amazing Furnished One Bedroom + Den,7831,,-118.433733,1,34.061619,/wst/apa/5332398594.html,24,,Nov 25,"2015-11-25T14:47:51-0800,2015-11-25T14:47:51-0800",,31,0
"2015-11-25T14:53:27-0800,2015-11-25T14:53:27-0800",5332405290,Stunning 1+1 with Beautiful Outside View !,2038,,-118.352903,1,34.064918,/wst/apa/5332405290.html,5,1.0,Nov 25,"2015-11-25T14:53:27-0800,2015-11-25T14:53:27-0800",800,57,0
"2015-11-25T12:13:36-0800,2015-11-25T12:13:36-0800",5332184730,Here Comes The Sun!,3098,,-118.493686,1,34.016633,/wst/apa/5332184730.html,6,,Nov 25,"2015-11-25T12:13:36-0800,2015-11-25T12:13:36-0800",,34,0
"2015-11-25T13:19:26-0800,2015-11-25T13:19:26-0800",5332281623,A stone's throw to the beach!,2555,,-118.493168,1,34.015405,/wst/apa/5332281623.html,0,1.0,Nov 25,"2015-11-25T13:19:26-0800,2015-11-25T13:19:26-0800",482,6,0
