postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-25T13:29:01-0700,2015-11-25T13:29:01-0700",5332208144,UPDATED RENTAL AVAILABLE,666,,,3,,//denver.craigslist.org/apa/5332208144.html,0,2.0,Nov 25,"2015-11-25T13:29:01-0700,2015-11-25T13:29:01-0700",1500,38,0
"2015-11-25T15:27:37-0700,2015-11-25T15:27:37-0700",5332373711,Nice Apartment Close to CSM and Downtown Golden!,1000,,,2,,//denver.craigslist.org/apa/5332373711.html,3,,Nov 25,"2015-11-25T15:27:37-0700,2015-11-25T15:27:37-0700",,11,0
"2015-11-25T15:24:42-0700,2015-11-25T15:24:42-0700",5332369954,Immediate Move-in! One Bedroom with great specials!,1096,,-105.077641,1,39.860983,//denver.craigslist.org/apa/5332369954.html,12,1.0,Nov 25,"2015-11-25T15:24:42-0700,2015-11-25T15:24:42-0700",632,40,0
"2015-11-25T15:24:50-0700,2015-11-25T15:24:50-0700",5332370124,You will be Thankful you found us! Move in today.,1199,,-104.80853,1,39.705772,//denver.craigslist.org/apa/5332370124.html,2,1.0,Nov 25,"2015-11-25T15:24:50-0700,2015-11-25T15:24:50-0700",668,30,0
"2015-11-25T15:24:59-0700,2015-11-25T15:24:59-0700",5332370327,Start your new year off right in your new stunning home!,1525,,-104.871025,1,39.548397,//denver.craigslist.org/apa/5332370327.html,14,1.0,Nov 25,"2015-11-25T15:24:59-0700,2015-11-25T15:24:59-0700",878,56,0
"2015-11-16T20:23:15-0700,2015-11-16T20:23:15-0700,2015-11-25T15:24:57-0700",5319420920,4 Bedroom 2 Bath Ranch Style Home,2100,,-104.938273,4,39.594627,//denver.craigslist.org/apa/5319420920.html,10,2.0,Nov 25,"2015-11-16T20:23:15-0700,2015-11-16T20:23:15-0700,2015-11-25T15:24:57-0700",2221,2,0
"2015-11-25T15:05:55-0700,2015-11-25T15:05:55-0700",5332345733,GORGEOUS 1 BED IN CHERRY CREEK!,1325,,,1,,//denver.craigslist.org/apa/5332345733.html,10,,Nov 25,"2015-11-25T15:05:55-0700,2015-11-25T15:05:55-0700",,16,0
"2015-11-25T15:08:43-0700,2015-11-25T15:08:43-0700",5332349501,Spectacular Newly Renovated 3 Bedroom in DTC,1768,,-104.8799,3,39.6123,//denver.craigslist.org/apa/5332349501.html,6,2.0,Nov 25,"2015-11-25T15:08:43-0700,2015-11-25T15:08:43-0700",1330,11,0
"2015-10-29T10:55:52-0600,2015-10-29T10:55:52-0600,2015-11-25T15:19:55-0700",5291013575,HISTORIC LOFT in DENVER HIGHLANDS,1600,,,1,,//denver.craigslist.org/apa/5291013575.html,15,1.5,Nov 25,"2015-10-29T10:55:52-0600,2015-10-29T10:55:52-0600,2015-11-25T15:19:55-0700",1032,16,0
"2015-11-25T15:25:18-0700,2015-11-25T15:25:18-0700",5332370731,Can't Beat this Price and Location! Two Bedroom In Cap Hill! Save BIG!,1440,,-104.969736,2,39.738386,//denver.craigslist.org/apa/5332370731.html,15,,Nov 25,"2015-11-25T15:25:18-0700,2015-11-25T15:25:18-0700",,25,0
"2015-11-25T15:15:38-0700,2015-11-25T15:15:38-0700",5332358487,1 BEDROOM AVAILABLE SOON!!!,1490,,-104.843118,1,39.67695,//denver.craigslist.org/apa/5332358487.html,10,1.0,Nov 25,"2015-11-25T15:15:38-0700,2015-11-25T15:15:38-0700",715,50,0
"2015-11-25T14:24:01-0700,2015-11-25T14:24:01-0700",5332288193,2BD Apartment-All Inclusive 55+ Active Adults Wanted!!,1590,,-105.102317,2,39.999709,//boulder.craigslist.org/apa/5332288193.html,6,,Nov 25,"2015-11-25T14:24:01-0700,2015-11-25T14:24:01-0700",,2,0
"2015-11-25T15:24:11-0700,2015-11-25T15:24:11-0700",5332369302,Controlled Access building! Private with Mountain Views!,1325,,-104.871197,1,39.547868,//denver.craigslist.org/apa/5332369302.html,14,1.0,Nov 25,"2015-11-25T15:24:11-0700,2015-11-25T15:24:11-0700",697,26,0
"2015-11-25T14:53:26-0700,2015-11-25T14:53:26-0700",5332328869,Great Location - Mintues From The Highlands & Lower Downtown Denver,2036,,-105.007839,2,39.756692,//denver.craigslist.org/apa/5332328869.html,6,2.0,Nov 25,"2015-11-25T14:53:26-0700,2015-11-25T14:53:26-0700",1068,34,0
"2015-11-25T15:23:43-0700,2015-11-25T15:23:43-0700",5332368712,"Full Renovation 2 Bed, Available NOW! Waived ALL Fees And $500 Off!!!",1815,,-104.977636,2,39.724087,//denver.craigslist.org/apa/5332368712.html,23,2.0,Nov 25,"2015-11-25T15:23:43-0700,2015-11-25T15:23:43-0700",994,15,0
"2015-11-23T09:16:36-0700,2015-11-23T09:16:36-0700,2015-11-25T14:48:51-0700",5328734946,"Private Patio or Balcony, Pet-friendly Community, Resident Lounge",1075,,-105.022709,1,39.910263,//denver.craigslist.org/apa/5328734946.html,9,,Nov 25,"2015-11-23T09:16:36-0700,2015-11-23T09:16:36-0700,2015-11-25T14:48:51-0700",737,19,0
